PageName,WikidataID,ImageURL
Bibi Ka Maqbara,Q856259,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/The_Tomb_of_Dilras_Banu_Begum.jpg/450px-The_Tomb_of_Dilras_Banu_Begum.jpg
Wieliczka Salt Mine,Q454019,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Wieliczka_salt_mine.jpg/450px-Wieliczka_salt_mine.jpg
Lincoln Tomb,Q3409587,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Abraham_Lincoln_Tomb_Springfield_Illiois.jpg/450px-Abraham_Lincoln_Tomb_Springfield_Illiois.jpg
"Jantar Mantar, New Delhi",Q2045115,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg/450px-Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg
El Escorial,Q28471,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Monasterio_de_El_Escorial_en_Madrid.jpg/450px-Monasterio_de_El_Escorial_en_Madrid.jpg
Chowmahalla Palace,Q3380670,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Chowmahalla_Palace_01.jpg/450px-Chowmahalla_Palace_01.jpg
Centre Pompidou,Q178065,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Pompidou_center.jpg/450px-Pompidou_center.jpg
Ulm Minster,Q44562,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/RAU_3880.jpg/450px-RAU_3880.jpg
Gaziantep Castle,Q6026101,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Gaziantep_castle.JPG/450px-Gaziantep_castle.JPG
Pena Palace,Q69513,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Pena_National_Palace_-_Sintra_-_Pal%C3%A1cio_Nacional_da_Pena_%2815842491914%29_%28cropped%29.jpg/450px-Pena_National_Palace_-_Sintra_-_Pal%C3%A1cio_Nacional_da_Pena_%2815842491914%29_%28cropped%29.jpg
Cinderella Castle,Q2742709,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Cinderella_Castle_October_1.jpg/450px-Cinderella_Castle_October_1.jpg
Griffith Observatory,Q575901,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Griffith_observatory_2006.jpg/450px-Griffith_observatory_2006.jpg
The Exchange 106,Q27670200,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Views_of_the_Exchange_106_from_Kuala_Lumpur_Tower.jpg/450px-Views_of_the_Exchange_106_from_Kuala_Lumpur_Tower.jpg
Trinity Church (Manhattan),Q866896,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Trinity_Church_-_Wall_Street%2C_New_York%2C_NY%2C_USA_-_August_19%2C_2015_-_panoramio.jpg/450px-Trinity_Church_-_Wall_Street%2C_New_York%2C_NY%2C_USA_-_August_19%2C_2015_-_panoramio.jpg
Royal Pavilion,Q62364,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Brighton_royal_pavilion_Qmin.jpg/450px-Brighton_royal_pavilion_Qmin.jpg
Hungarian Parliament Building,Q11819,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Parliament_of_Hungary_November_2017.jpg/450px-Parliament_of_Hungary_November_2017.jpg
