PageName,WikidataID,ImageURL
Ed Sheeran,Q47447,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ed_Sheeran-6886_%28cropped%29.jpg/450px-Ed_Sheeran-6886_%28cropped%29.jpg
John Lennon,Q1203,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Lennon_1969_%28cropped%29.jpg/450px-John_Lennon_1969_%28cropped%29.jpg
Jordan Peterson,Q6276882,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Jordan_Peterson_by_Gage_Skidmore.jpg/450px-Jordan_Peterson_by_Gage_Skidmore.jpg
Dakota Johnson,Q2315802,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Dakota_Johnson_Venice_2018_%28cropped%29.jpg/450px-Dakota_Johnson_Venice_2018_%28cropped%29.jpg
Prince (musician),Q7542,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Prince_1981.jpg/450px-Prince_1981.jpg
Kevin McCarthy,Q766866,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Kevin_McCarthy%2C_official_portrait%2C_speaker.jpg/450px-Kevin_McCarthy%2C_official_portrait%2C_speaker.jpg
Drew Barrymore,Q676094,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Drew_Barrymore_Berlin_2014.jpg/450px-Drew_Barrymore_Berlin_2014.jpg
Lewis Strauss,Q1822160,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Lewis_Lichtenstein_Strauss_pers0164.jpg/450px-Lewis_Lichtenstein_Strauss_pers0164.jpg
Christian Bale,Q45772,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Christian_Bale-7837.jpg/450px-Christian_Bale-7837.jpg
Judy Garland,Q11637,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/JUDYGarland.jpg/450px-JUDYGarland.jpg
Jerry Springer,Q27214,https://upload.wikimedia.org/wikipedia/commons/9/9a/Jerry_Springer_at_Emory_%28cropped%29.jpg
Olivia Wilde,Q200355,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Olivia_Wilde_in_2021_2.jpg/450px-Olivia_Wilde_in_2021_2.jpg
Reese Witherspoon,Q44063,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Reese_Witherspoon_at_TIFF_2014.jpg/450px-Reese_Witherspoon_at_TIFF_2014.jpg
Lauren Boebert,Q96761544,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Lauren_Boebert_117th_U.S_Congress.jpg/450px-Lauren_Boebert_117th_U.S_Congress.jpg
Bad Bunny,Q44333953,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Bad_Bunny_2019_by_Glenn_Francis_%28cropped%29.jpg/450px-Bad_Bunny_2019_by_Glenn_Francis_%28cropped%29.jpg
Denzel Washington,Q42101,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Denzel_Washington_2018.jpg/450px-Denzel_Washington_2018.jpg
Edward VII,Q20875,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/King-Edward-VII_%28cropped%29.jpg/450px-King-Edward-VII_%28cropped%29.jpg
Elizabeth Olsen,Q234644,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Elizabeth_Olsen_by_Gage_Skidmore_2.jpg/450px-Elizabeth_Olsen_by_Gage_Skidmore_2.jpg
Stephen Hawking,Q17714,https://upload.wikimedia.org/wikipedia/commons/e/eb/Stephen_Hawking.StarChild.jpg
Nicole Kidman,Q37459,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Nicole_Kidman_2_%2829900987478%29.jpg/450px-Nicole_Kidman_2_%2829900987478%29.jpg
Annie Wersching,Q239093,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Annie_Wersching_by_Gage_Skidmore.jpg/450px-Annie_Wersching_by_Gage_Skidmore.jpg
Sydney Sweeney,Q49561909,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sydney_Sweeney_2019_by_Glenn_Francis.jpg/450px-Sydney_Sweeney_2019_by_Glenn_Francis.jpg
Jack Nicholson,Q39792,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jack_Nicholson_2001.jpg
Jalen Hurts,Q26923572,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Jalen_Hurts_11-14-22_%28cropped%29.jpg/450px-Jalen_Hurts_11-14-22_%28cropped%29.jpg
Kelly Reilly,Q236167,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Kelly_Reilly_2013.jpg/450px-Kelly_Reilly_2013.jpg
Damar Hamlin,Q106658419,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Damar_Hamlin_%281%29.jpg/450px-Damar_Hamlin_%281%29.jpg
Lindsay Lohan,Q44903,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Lindsay_Lohan_2019_2.png/450px-Lindsay_Lohan_2019_2.png
Kaley Cuoco,Q16759,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Kaley_Cuoco_by_Gage_Skidmore.jpg/450px-Kaley_Cuoco_by_Gage_Skidmore.jpg
Megan Fox,Q80069,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Machine_Gun_Kelly_and_Megan_Fox_%2851914406561%29_%28cropped2%29.jpg/450px-Machine_Gun_Kelly_and_Megan_Fox_%2851914406561%29_%28cropped2%29.jpg
John Krasinski,Q313039,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/John_Krasinski_2018.png/450px-John_Krasinski_2018.png
Bruce Lee,Q16397,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bruce_Lee_1973.jpg/450px-Bruce_Lee_1973.jpg
Mia Goth,Q20974095,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mia_Goth_at_Berlinale_2023_%28cropped%29.jpg/450px-Mia_Goth_at_Berlinale_2023_%28cropped%29.jpg
Kim Petras,Q60964,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Kim_Petras_2021.jpg/450px-Kim_Petras_2021.jpg
Natalie Portman,Q37876,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Natalie_Portman_%2848470988352%29_%28cropped%29.jpg/450px-Natalie_Portman_%2848470988352%29_%28cropped%29.jpg
Snoop Dogg,Q6096,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Snoop_Dogg_2019_by_Glenn_Francis.jpg/450px-Snoop_Dogg_2019_by_Glenn_Francis.jpg
John Fetterman,Q3181500,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/John_Fetterman_official_portrait.jpg/450px-John_Fetterman_official_portrait.jpg
Joaquin Phoenix,Q185140,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Joaquin_Phoenix_in_2018.jpg/450px-Joaquin_Phoenix_in_2018.jpg
Amber Heard,Q229166,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Amber_Heard_by_Gage_Skidmore.jpg/450px-Amber_Heard_by_Gage_Skidmore.jpg
